NAME;ALT_NAME;COUNTRY;LAT;LON;ELEV;UTC
NW FLORIDA BEACHES INTL AP;NW FLORIDA BEACHES INTL AP;UNITED;30.349;-85.788;57;-6
ORLANDO EXECUTIVE AP;ORLANDO EXECUTIVE AP;UNITED;28.54528;-81.33306;108;-5
ORLANDO INTL AP;ORLANDO INTL AP;UNITED;28.4339;-81.325;90;-5
ORLANDO SANFORD AP;ORLANDO SANFORD AP;UNITED;28.77972;-81.24361;-99999;-5
PANAMA CITY BAY CO AP;PANAMA CITY BAY CO AP;UNITED;30.21194;-85.68278;-99999;-6
PENSACOLA RGNL AP;PENSACOLA RGNL AP;UNITED;30.47806;-87.18694;112;-6
PERRY FOLEY AP;PERRY FOLEY AP;UNITED;30.07194;-83.57361;-99999;-5
POMPANO BEACH AIRPARK;POMPANO BEACH AIRPARK;UNITED;26.25;-80.10833;-99999;-5
PUNTA GORDA CHARLOTTE CO AP;PUNTA GORDA CHARLOTTE CO AP;UNITED;26.91722;-81.99139;-99999;-5
SARASOTA BRADENTON AP;SARASOTA BRADENTON AP;UNITED;27.40139;-82.55861;-99999;-5
ST PETERSBURG ALBERT WHITTED;ST PETERSBURG ALBERT WHITTED;UNITED;27.76472;-82.6275;-99999;-5
ST PETERSBURG INTL AP;ST PETERSBURG INTL AP;UNITED;27.91056;-82.6875;-99999;-5
TALLAHASSEE RGNL AP;TALLAHASSEE WSO AP;UNITED;30.39306;-84.35333;55;-5
TAMPA INTL AP;TAMPA INTL AP;UNITED;27.96194;-82.5403;19;-5
VERO BEACH INTL AP;VERO BEACH INTL AIRPORT;UNITED;27.651;-80.4199;28;-5
WEST PALM BEACH INTL AP;WEST PALM BCH INTL AP;UNITED;26.6847;-80.0994;19;-5
WHITING FIELD NAS SOUTH;WHITING FIELD NAS SOUTH;UNITED;30.70444;-87.02306;178;-6
WINTER HAVEN GILBERT AP;WINTER HAVEN GILBERT AP;UNITED;28.06222;-81.75417;-99999;-5
ALBANY SW GA RGNL AP;ALBANY SW GA RGNL AP;UNITED;31.53556;-84.19444;190;-5
ALMA BACON CO AP;ALMA BACON CO AP;UNITED;31.5358;-82.5067;193;-5
ATHENS BEN EPPS AP;ATHENS BEN EPPS AP;UNITED;33.948;-83.3275;785;-5
ATLANTA FULTON CO AP;ATLANTA FULTON CO AP;UNITED;33.77917;-84.52139;840;-5
ATLANTA HARTSFIELD INTL AP;ATLANTA HARTSFIELD AP;UNITED;33.6301;-84.4418;1010;-5
ATLANTA PEACHTREE AP;ATLANTA PEACHTREE AP;UNITED;33.875;-84.30222;-99999;-5
AUGUSTA BUSH FLD AP;AUGUSTA BUSH FLD AP;UNITED;33.3644;-81.9633;132;-5
AUGUSTA DANIEL FLD AP;AUGUSTA DANIEL FLD AP;UNITED;33.46694;-82.03861;-99999;-5
BRUNSWICK MALCOLM MCKINNON AP;BRUNSWICK-MCKINNON AP;UNITED;31.1522;-81.3908;16;-5
CARTERSVILLE AP;CARTERSVILLE AP;UNITED;34.12306;-84.84861;-99999;-5
